bucket,start_day,end_day,count,percentage
1-10,1,10,153,16.4871
11-20,11,20,248,26.7241
21-30,21,30,185,19.9353
31-40,31,40,99,10.6681
41-50,41,50,63,6.7888
51-60,51,60,42,4.5259
61-70,61,70,40,4.3103
71-80,71,80,26,2.8017
81-90,81,90,14,1.5086
91-100,91,100,18,1.9397
101-110,101,110,10,1.0776
111-120,111,120,7,0.7543
121-130,121,130,4,0.4310
131-140,131,140,3,0.3233
141-150,141,150,1,0.1078
151-160,151,160,0,0.0000
161-170,161,170,0,0.0000
171-180,171,180,0,0.0000
181-190,181,190,1,0.1078
no_breach_yet,,,14,1.5086
