trade_date,open,high,low,close,atr,atr_pct
2005-01-04,996.28,996.28,982.99,989.98,,
2005-01-05,989.87,1018.26,988.57,1013.58,,
2005-01-06,1014.97,1014.97,1001.21,1005.47,,
2005-01-07,1005.52,1021.71,1001.10,1011.74,,
2005-01-10,1011.93,1023.64,1007.80,1023.64,,
2005-01-11,1024.04,1027.16,1017.79,1027.16,,
2005-01-12,1026.74,1026.74,1014.77,1024.92,,
2005-01-13,1024.13,1030.49,1020.67,1029.30,,
2005-01-14,1028.99,1034.59,1011.44,1011.88,,
2005-01-17,1002.33,1002.33,984.38,986.66,,
2005-01-18,985.67,1008.48,985.67,1008.11,,
2005-01-19,1007.11,1008.22,997.62,1002.46,,
2005-01-20,999.93,999.93,982.42,989.44,,
2005-01-21,987.43,1007.92,966.08,1006.25,19.3364,1.9216
2005-01-24,1028.01,1029.00,1016.09,1028.01,19.5803,1.9047
2005-01-25,1023.10,1023.10,1005.49,1015.10,19.7902,1.9496
2005-01-26,1014.25,1015.13,1004.61,1006.84,19.1281,1.8998
2005-01-27,1005.89,1005.89,988.12,989.41,19.0989,1.9303
2005-01-28,989.41,989.41,960.24,963.01,19.8183,2.0580
2005-01-31,954.94,954.94,923.13,924.17,21.2513,2.2995
2005-02-01,917.30,929.22,905.21,905.80,21.4483,2.3679
2005-02-02,904.13,959.99,904.13,958.39,23.9063,2.4944
2005-02-03,956.73,962.26,936.51,936.86,24.0380,2.5658
2005-02-04,937.15,954.91,934.96,952.39,23.7460,2.4933
2005-02-16,959.28,975.50,958.48,966.39,23.7006,2.4525
2005-02-17,966.04,973.81,957.80,973.81,23.1512,2.3774
2005-02-18,973.19,974.21,963.76,964.01,22.2440,2.3074
2005-02-21,963.58,983.69,963.58,983.61,22.0916,2.2460
2005-02-22,983.96,1016.38,982.76,1015.66,22.9150,2.2562
2005-02-23,1016.77,1038.91,1010.43,1032.90,23.3125,2.2570
2005-02-24,1031.75,1037.78,1023.30,1035.35,22.6816,2.1907
2005-02-25,1034.54,1046.99,1032.32,1032.41,22.1094,2.1415
2005-02-28,1032.18,1034.46,1021.86,1029.38,21.4301,2.0818
2005-03-01,1028.61,1031.54,1018.99,1030.82,20.7958,2.0174
2005-03-02,1031.50,1038.35,1013.83,1014.53,21.0619,2.0760
2005-03-03,1011.26,1021.45,1003.21,1020.25,20.8603,2.0446
2005-03-04,1020.55,1022.23,1009.84,1011.36,20.2553,2.0028
2005-03-07,1011.81,1016.56,1009.27,1013.59,19.3292,1.9070
2005-03-08,1014.26,1037.06,1014.26,1037.03,19.6250,1.8924
2005-03-09,1039.51,1044.01,1034.48,1042.18,18.9039,1.8139
2005-03-10,1042.74,1043.32,1008.40,1011.79,20.0479,1.9814
2005-03-11,1009.98,1018.11,1005.95,1017.45,19.4845,1.9150
2005-03-14,1016.72,1016.72,990.34,1005.99,20.0292,1.9910
2005-03-15,1005.51,1007.55,991.23,993.48,19.7642,1.9894
2005-03-16,991.75,991.77,977.60,982.84,19.4868,1.9827
2005-03-17,980.92,984.38,967.48,967.59,19.3020,1.9949
2005-03-18,965.18,969.39,943.69,946.71,19.7590,2.0871
2005-03-21,945.76,952.09,939.19,950.79,19.2691,2.0266
2005-03-22,950.80,951.15,915.73,915.94,20.4227,2.2297
2005-03-23,915.04,933.53,909.34,915.97,20.6918,2.2590
2005-03-24,914.47,928.68,906.58,928.54,20.7924,2.2393
2005-03-25,928.73,928.73,918.79,923.20,20.0172,2.1682
2005-03-28,921.89,921.89,896.95,911.35,20.4624,2.2453
2005-03-29,910.67,919.16,904.73,904.82,20.0315,2.2139
2005-03-30,902.01,902.01,868.89,869.58,21.1671,2.4342
2005-03-31,868.27,880.91,860.42,880.90,21.1188,2.3974
2005-04-01,880.26,921.49,870.60,913.85,23.2453,2.5437
2005-04-04,904.54,909.31,890.30,896.29,23.2670,2.5959
2005-04-05,894.29,898.45,884.66,886.20,22.5901,2.5491
2005-04-06,886.20,903.12,874.03,898.88,23.0544,2.5648
2005-04-07,898.60,925.78,897.65,913.66,23.4169,2.5630
2005-04-08,913.34,931.88,909.87,931.38,23.3164,2.5034
2005-04-11,930.52,940.15,924.60,931.97,22.7617,2.4423
2005-04-12,930.97,930.97,905.77,905.87,23.0073,2.5398
2005-04-13,908.76,929.66,908.76,929.11,23.0632,2.4823
2005-04-14,931.79,932.91,914.62,916.35,22.7223,2.4796
2005-04-15,912.68,912.68,886.01,887.93,23.2664,2.6203
2005-04-18,882.41,882.41,862.17,868.33,23.4445,2.7000
2005-04-19,867.35,871.67,856.70,867.23,22.8392,2.6336
2005-04-20,866.65,866.65,843.77,844.93,22.8835,2.7083
2005-04-21,843.57,846.79,820.48,826.05,23.1283,2.7999
2005-04-22,823.62,826.77,800.95,806.65,23.3205,2.8910
2005-04-25,792.11,794.46,778.24,789.54,23.6841,2.9997
2005-04-26,784.95,811.24,780.44,806.94,24.1923,2.9980
2005-04-27,809.90,809.90,789.96,790.24,23.8886,3.0230
2005-04-28,787.36,817.23,777.63,813.63,25.0109,3.0740
2005-04-29,812.84,814.27,801.00,802.28,24.1722,3.0129
2005-05-09,803.67,806.51,770.86,771.08,24.9921,3.2412
2005-05-10,767.78,773.20,746.65,773.20,25.1033,3.2467
2005-05-11,771.41,781.30,766.40,772.08,24.3745,3.1570
2005-05-12,772.16,778.23,761.26,769.02,23.8456,3.1008
2005-05-13,766.13,780.41,764.34,779.49,23.2902,2.9879
2005-05-16,778.48,778.48,770.59,776.54,22.2624,2.8669
2005-05-17,775.24,788.68,770.83,785.44,21.9472,2.7943
2005-05-18,785.25,794.76,780.58,794.57,21.3924,2.6923
2005-05-19,795.21,798.11,783.64,794.49,20.8979,2.6304
2005-05-20,794.71,797.34,787.57,787.90,20.1031,2.5515
2005-05-23,784.48,784.48,757.72,758.68,20.8229,2.7446
2005-05-24,756.41,782.26,753.41,777.77,21.3962,2.7510
