date,open,high,low,close
2014-10-17,6118.98,6140.12,5943.59,6058.67
2014-10-20,6068.78,6154.69,6068.52,6154.52
2014-10-21,6153.02,6176.07,6097.37,6103.01
2014-10-22,6102.46,6131.89,6024.40,6027.51
2014-10-23,6009.84,6032.61,5899.89,5930.48
2014-10-24,5930.57,5980.34,5917.56,5941.93
2014-10-27,5927.15,6007.16,5899.77,6006.84
2014-10-28,6021.65,6163.67,6021.64,6163.67
2014-10-29,6179.46,6269.96,6179.16,6246.70
2014-10-30,6248.47,6284.70,6222.81,6241.59
2014-10-31,6242.84,6261.71,6158.80,6208.61
2014-11-03,6217.10,6276.23,6216.88,6275.99
2014-11-04,6275.00,6280.83,6207.40,6231.82
2014-11-05,6222.94,6241.07,6188.34,6227.25
2014-11-06,6223.08,6289.83,6201.27,6289.19
2014-11-07,6297.35,6319.09,6204.81,6228.17
2014-11-10,6236.20,6247.72,6196.99,6246.61
2014-11-11,6252.39,6253.22,5973.74,6023.00
2014-11-12,6005.86,6120.25,5992.90,6120.06
2014-11-13,6116.98,6117.11,5987.00,6023.78
2014-11-14,6002.05,6024.37,5965.81,6009.45
2014-11-17,6016.54,6118.01,5992.80,6100.83
2014-11-18,6095.87,6139.76,6094.61,6139.52
2014-11-19,6134.37,6206.82,6134.05,6193.56
2014-11-20,6174.89,6189.44,6158.34,6185.92
2014-11-21,6183.47,6240.78,6183.34,6240.77
2014-11-24,6281.56,6304.45,6253.74,6293.02
2014-11-25,6295.68,6392.80,6290.37,6392.44
2014-11-26,6400.59,6435.34,6381.89,6435.14
2014-11-27,6450.51,6472.79,6420.73,6472.59
2014-11-28,6476.57,6499.20,6419.20,6478.11
2014-12-01,6478.00,6478.00,6360.93,6392.46
2014-12-02,6385.95,6466.69,6382.65,6457.56
2014-12-03,6465.46,6514.31,6393.73,6513.96
2014-12-04,6517.68,6608.23,6515.23,6605.32
2014-12-05,6612.19,6612.19,6294.19,6462.09
2014-12-08,6445.51,6494.32,6390.90,6457.51
2014-12-09,6435.57,6435.68,6153.78,6161.37
2014-12-10,6137.27,6367.07,6111.76,6366.81
2014-12-11,6361.34,6463.72,6335.86,6463.32
2014-12-12,6469.27,6549.42,6455.97,6545.19
2014-12-15,6528.87,6664.25,6510.36,6658.15
2014-12-16,6663.47,6678.41,6590.84,6635.26
2014-12-17,6613.97,6613.97,6494.31,6551.12
2014-12-18,6538.89,6581.06,6529.34,6540.88
2014-12-19,6524.55,6524.76,6346.30,6438.04
2014-12-22,6406.51,6406.55,6097.91,6120.58
2014-12-23,6087.27,6153.65,6012.57,6023.37
2014-12-24,6045.09,6155.29,6045.09,6154.88
2014-12-25,6166.47,6222.66,6159.04,6222.51
2014-12-26,6218.91,6233.96,6196.22,6233.94
2014-12-29,6222.94,6222.94,6068.55,6098.98
2014-12-30,6083.96,6088.87,5967.82,5982.64
2014-12-31,5981.12,6027.52,5945.72,6027.52
2015-01-05,6025.75,6052.44,5948.27,6049.79
2015-01-06,6021.45,6172.64,5986.40,6172.39
2015-01-07,6161.48,6171.15,6118.14,6166.77
2015-01-08,6161.55,6211.46,6126.97,6164.11
2015-01-09,6148.11,6214.29,6128.01,6128.01
2015-01-12,6098.82,6102.44,6033.71,6062.28
2015-01-13,6059.38,6167.35,6058.60,6167.12
2015-01-14,6167.75,6170.91,6114.24,6139.29
2015-01-15,6136.56,6177.05,6136.10,6168.66
2015-01-16,6172.96,6252.14,6169.05,6252.08
2015-01-19,6133.55,6296.61,6033.88,6109.29
2015-01-20,6135.61,6336.71,6135.61,6336.63
2015-01-21,6358.02,6465.83,6357.68,6465.73
2015-01-22,6472.17,6569.90,6466.65,6568.64
2015-01-23,6576.98,6577.38,6481.21,6502.07
2015-01-26,6508.73,6642.72,6508.09,6642.61
2015-01-27,6652.21,6694.82,6582.44,6693.81
2015-01-28,6680.08,6725.67,6649.19,6666.26
2015-01-29,6620.23,6661.73,6594.45,6625.01
2015-01-30,6629.28,6655.61,6546.14,6546.60
2015-02-02,6485.16,6567.40,6449.57,6535.90
2015-02-03,6547.75,6661.89,6547.62,6654.55
