date,action,code,price,spot_close,annualized_basis,days_to_expiry,cumulative_profit
2022-07-22,entry,IM2208,6934.20000000,7034.60000000,0.18874358,28,0.00000000
2022-08-15,roll,IM2209,7214.40000000,7283.50000000,0.10924982,32,65640.00000000
2022-09-13,roll,IM2210,6829.60000000,6904.08000000,0.10474991,38,360.00000000
2022-10-17,roll,IM2211,6416.00000000,6472.45000000,0.10035580,32,-72240.00000000
2022-11-14,roll,IM2212,6568.20000000,6599.67000000,0.05465039,32,-37840.00000000
2022-12-12,roll,IM2306,6467.20000000,6655.67000000,0.05718813,186,-18320.00000000
2023-06-12,roll,IM2307,6505.00000000,6530.16000000,0.03619858,39,-6920.00000000
2023-07-17,roll,IM2308,6487.60000000,6516.56000000,0.05091636,32,-7120.00000000
2023-08-14,roll,IM2309,6312.40000000,6319.41000000,0.01266678,32,-42600.00000000
2023-09-11,roll,IM2310,6157.60000000,6182.64000000,0.03805845,39,-71560.00000000
2023-10-16,roll,IM2311,5997.20000000,6024.36000000,0.05165640,32,-100920.00000000
2023-11-13,roll,IM2312,6080.60000000,6144.63000000,0.12011022,32,-78160.00000000
2023-12-11,roll,IM2403,5972.80000000,6075.08000000,0.06579335,95,-80160.00000000
2024-03-11,roll,IM2404,5383.00000000,5466.65000000,0.14543530,39,-188280.00000000
2024-04-15,roll,IM2405,5162.60000000,5287.51000000,0.27597619,32,-219720.00000000
2024-05-13,roll,IM2406,5433.80000000,5520.80000000,0.14984555,39,-152120.00000000
2024-06-17,roll,IM2407,5125.60000000,5183.97000000,0.12989363,32,-203720.00000000
2024-07-15,roll,IM2408,4761.40000000,4827.60000000,0.15858650,32,-267840.00000000
2024-08-12,roll,IM2409,4613.20000000,4674.10000000,0.12355015,39,-286960.00000000
2024-09-18,roll,IM2410,4361.00000000,4399.13000000,0.10637812,30,-329680.00000000
2024-10-14,roll,IM2411,5573.40000000,5615.76000000,0.08669192,32,-83720.00000000
2024-11-11,roll,IM2412,6492.40000000,6579.01000000,0.12485071,39,107320.00000000
2024-12-16,roll,IM2501,6220.80000000,6277.52000000,0.10399989,32,60800.00000000
2025-01-13,roll,IM2502,5503.80000000,5559.47000000,0.09466443,39,-73960.00000000
2025-02-17,roll,IM2503,6203.80000000,6281.57000000,0.14298721,32,75360.00000000
2025-03-17,roll,IM2504,6483.60000000,6589.57000000,0.18642734,32,145200.00000000
2025-04-14,roll,IM2505,5804.00000000,5938.53000000,0.26438367,32,26760.00000000
2025-05-12,roll,IM2506,6022.20000000,6167.46000000,0.22574551,39,93400.00000000
2025-06-16,roll,IM2507,6035.00000000,6147.46000000,0.21255126,32,114720.00000000
2025-07-14,roll,IM2508,6382.00000000,6462.31000000,0.14353431,32,197840.00000000
2025-08-11,roll,IM2603,6492.80000000,6943.94000000,0.11475719,221,308040.00000000
2026-03-16,roll,IM2604,8109.60000000,8211.35000000,0.14311260,32,645320.00000000
2026-04-13,roll,IM2606,7800.80000000,8025.57000000,0.15697022,67,622240.00000000
