合约代码,今开盘,最高价,最低价,成交量,成交金额,持仓量,持仓变化,今收盘,今结算,前结算,涨跌1,涨跌2,隐含波动率(%),Delta
IC1809                        ,4588.6,4698.4,4581.6,17179,1591344.388,17957,-3628.0,4679.4,4677.6,4601.4,78.0,76.2,--,--
IC1810                        ,4550,4665,4542,5771,530554.316,11092,3473.0,4645.2,4642.6,4562.2,83.0,80.4,--,--
IC1812                        ,4483.2,4581.8,4470,2734,247041.32,17411,929.0,4568.2,4563,4493,75.2,70.0,--,--
IC1903                        ,4410.8,4508.6,4395.8,456,40495.804,3066,209.0,4488,4485.8,4411.6,76.4,74.2,--,--
小计,,,,26140,2409435.828,49526.0,983.0,,,,,,
IF1809                        ,3205.8,3282.4,3197,32124,3115295.964,27339,-4380.0,3273.4,3267.2,3209.8,63.6,57.4,--,--
IF1810                        ,3188,3269,3185.2,9176,887119.812,13311,4910.0,3260,3254.4,3197,63.0,57.4,--,--
IF1812                        ,3169.8,3242,3168.4,5015,481492.392,16130,1308.0,3237,3228.8,3180.6,56.4,48.2,--,--
IF1903                        ,3158.6,3221.8,3158.6,554,52944.606,2305,204.0,3217.8,3211,3167.8,50.0,43.2,--,--
小计,,,,46869,4536852.774,59085.0,2042.0,,,,,,
IH1809                        ,2392,2468,2392,15514,1129839.45,13576,-925.0,2465,2457.2,2405.6,59.4,51.6,--,--
IH1810                        ,2397,2470,2393.6,4057,296093.898,4812,1815.0,2466.2,2458.8,2407,59.2,51.8,--,--
IH1812                        ,2410.4,2481.2,2402.2,1817,133190.502,6156,477.0,2478.8,2471.4,2417.8,61.0,53.6,--,--
IH1903                        ,2407.8,2490.8,2407.8,92,6762.99,646,40.0,2486.2,2479.6,2420.2,66.0,59.4,--,--
小计,,,,21480,1565886.840,25190.0,1407.0,,,,,,
T1812                         ,94.575,94.635,94.305,28756,2717016.485,54591,1045.0,94.39,94.38,94.545,-0.155,-0.165,--,--
T1903                         ,94.53,94.615,94.33,43,4064.045,165,9.0,94.405,94.38,94.55,-0.145,-0.17,--,--
T1906                         ,,,,0,0,1,0.0,94.5,94.335,94.5,0.0,-0.165,--,--
小计,,,,28799,2721080.530,54757.0,1054.0,,,,,,
TF1812                        ,97.685,97.715,97.54,4883,476721.595,18938,468.0,97.57,97.585,97.645,-0.075,-0.060,--,--
TF1903                        ,,,,0,0,17,0.0,97.57,97.51,97.57,0.00,-0.06,--,--
TF1906                        ,,,,0,0,0,0.0,97.54,97.565,97.625,-0.085,-0.060,--,--
小计,,,,4883,476721.595,18955.0,468.0,,,,,,
TS1812                        ,99.385,99.385,99.335,126,25036.24,3123,5.0,99.34,99.345,99.34,0.00,0.005,--,--
TS1903                        ,,,,0,0,27,0.0,99.25,99.3,99.295,-0.045,0.005,--,--
TS1906                        ,,,,0,0,8,0.0,98.895,99.045,99.04,-0.145,0.005,--,--
小计,,,,126,25036.24,3158.0,5.0,,,,,,
合计,,,,128297,11735013.807,210671.0,5959.0,,,,,,
