合约代码,今开盘,最高价,最低价,成交量,成交金额,持仓量,持仓变化,今收盘,今结算,前结算,涨跌1,涨跌2,Delta
HO2409-C-1950                 ,275,275,273,2,5.48,104,-1.0,273,261.4,270,3.0,-8.6,0.9990
HO2409-C-1975                 ,248.6,248.6,237.4,9,21.976,9,9.0,244,236.4,243.6,0.4,-7.2,0.9980
HO2409-C-2000                 ,217,217,211.8,5,10.814,98,0.0,211.8,211.4,218.6,-6.8,-7.2,0.9970
HO2409-C-2025                 ,,,,0,0,15,0.0,206,186.6,193.8,12.2,-7.2,0.9940
HO2409-C-2050                 ,162.2,165.2,162.2,3,4.978,79,0.0,165.2,161.8,170.4,-5.2,-8.6,0.9890
HO2409-C-2075                 ,147.2,150.6,141,24,34.36,34,3.0,141,137,145.6,-4.6,-8.6,0.9780
HO2409-C-2100                 ,124.4,124.4,110.4,37,43.446,200,-3.0,110.6,112.8,121,-10.4,-8.2,0.9550
HO2409-C-2125                 ,92.6,98,85,19,17.59,40,-1.0,85,89.2,96.6,-11.6,-7.4,0.9120
HO2409-C-2150                 ,76,81.4,61.6,140,97.23,185,18.0,61.8,63,74,-12.2,-11.0,0.9260
HO2409-C-2175                 ,53.8,58.6,39.4,568,270.742,332,151.0,40.4,41,52,-11.6,-11.0,0.8110
HO2409-C-2200                 ,35,39,22.6,1901,543.518,1119,267.0,22.6,22.6,32,-9.4,-9.4,0.6160
HO2409-C-2225                 ,22,23,11.6,4055,646.966,1898,346.0,12.2,12.2,19.2,-7.0,-7.0,0.3880
HO2409-C-2250                 ,11.4,12.6,5.4,2770,229.024,2579,107.0,5.6,5.6,10.4,-4.8,-4.8,0.2120
HO2409-C-2275                 ,6.2,6.8,2.8,1435,55.558,2024,-190.0,2.8,2.8,6,-3.2,-3.2,0.1130
HO2409-C-2300                 ,4.2,4.2,1.6,2010,54.198,5142,-471.0,1.6,1.6,3.8,-2.2,-2.2,0.0650
HO2409-C-2325                 ,2.2,2.2,.6,471,5.82,2110,-42.0,.8,.8,2,-1.2,-1.2,0.0340
HO2409-C-2350                 ,1.6,1.6,.4,645,5.378,3375,-20.0,.6,.6,1.6,-1.0,-1.0,0.0240
HO2409-C-2375                 ,.8,1,.4,392,2.2,1706,-191.0,.4,.4,.8,-0.4,-0.4,0.0170
HO2409-C-2400                 ,.8,.8,.4,473,2.906,3333,-88.0,.6,.4,.6,0.0,-0.2,0.0100
HO2409-C-2425                 ,.6,.6,.4,47,0.222,1140,4.0,.4,.4,.6,-0.2,-0.2,0.0150
HO2409-C-2450                 ,.6,.6,.2,271,1.094,2097,-136.0,.2,.2,.4,-0.2,-0.2,0.0090
HO2409-C-2475                 ,.2,.2,.2,135,0.328,682,-32.0,.2,.2,.4,-0.2,-0.2,0.0090
HO2409-C-2500                 ,.4,.4,.4,69,0.276,2909,-15.0,.4,.2,.4,0.0,-0.2,0.0080
HO2409-C-2550                 ,,,,0,0,971,0.0,.4,.2,.2,0.2,0.0,0.0070
HO2409-C-2600                 ,.2,.2,.2,35,0.07,1595,-35.0,.2,.2,.2,0.0,0.0,0.0070
HO2409-C-2650                 ,.2,.2,.2,21,0.042,173,-13.0,.2,.2,.2,0.0,0.0,0.0060
HO2409-C-2700                 ,.2,.2,.2,18,0.036,1087,-15.0,.2,.2,.2,0.0,0.0,0.0060
HO2409-C-2750                 ,.2,.4,.2,11,0.024,64,3.0,.4,.2,.2,0.2,0.0,0.0050
HO2409-C-2800                 ,.2,.2,.2,14,0.028,970,-6.0,.2,.2,.2,0.0,0.0,0.0050
HO2409-C-2900                 ,.2,.2,.2,52,0.104,2408,-29.0,.2,.2,.2,0.0,0.0,0.0030
HO2409-P-1950                 ,.2,.4,.2,13,0.048,123,-1.0,.4,.2,.2,0.2,0.0,-0.0080
HO2409-P-1975                 ,,,,0,0,0,0.0,.2,.2,.2,0.0,0.0,-0.0080
HO2409-P-2000                 ,.2,.2,.2,21,0.042,182,-1.0,.2,.2,.2,0.0,0.0,-0.0090
HO2409-P-2025                 ,.2,.2,.2,1,0.002,38,-1.0,.2,.2,.2,0.0,0.0,-0.0100
HO2409-P-2050                 ,.4,.4,.2,19,0.04,135,-6.0,.2,.2,.2,0.0,0.0,-0.0120
HO2409-P-2075                 ,.2,.4,.2,16,0.034,75,1.0,.2,.2,.2,0.0,0.0,-0.0130
HO2409-P-2100                 ,.6,.6,.4,180,0.812,186,25.0,.6,.4,.6,0.0,-0.2,-0.0230
HO2409-P-2125                 ,.8,1,.6,265,2.194,227,80.0,.8,.8,1.2,-0.4,-0.4,-0.0390
HO2409-P-2150                 ,2.8,3,1.4,590,12.354,909,245.0,2,2,3,-1.0,-1.0,-0.0910
HO2409-P-2175                 ,5.6,6.8,3.8,1401,70.616,1504,201.0,5.6,5.6,6,-0.4,-0.4,-0.2100
HO2409-P-2200                 ,11.2,15,8.6,3056,364.958,1957,347.0,12.8,12.8,12.4,0.4,0.4,-0.3940
HO2409-P-2225                 ,22,28,17.6,2225,523.538,979,61.0,26.6,26.6,24,2.6,2.6,-0.6050
HO2409-P-2250                 ,37,46.4,32.6,1166,464.142,1026,-37.0,45.8,45.8,39.8,6.0,6.0,-0.7590
HO2409-P-2275                 ,58.2,68.8,52.4,401,249.118,1024,-63.0,67.6,69,60.6,7.0,8.4,-0.8300
HO2409-P-2300                 ,80.4,92.8,74.4,330,283.93,1377,-79.0,92.4,91.2,82.6,9.8,8.6,-0.9030
HO2409-P-2325                 ,103.8,116.6,97.8,177,194.352,964,-74.0,116.6,115,108.6,8.0,6.4,-0.9430
HO2409-P-2350                 ,130.4,141.2,122,96,128.688,678,-51.0,141.2,139,132.4,8.8,6.6,-0.9700
HO2409-P-2375                 ,151.8,165.8,146.4,80,127.16,418,-41.0,165,163.6,156.8,8.2,6.8,-0.9830
HO2409-P-2400                 ,179.8,190,171,75,137.856,623,-33.0,190,188.4,181.6,8.4,6.8,-0.9900
HO2409-P-2425                 ,208.2,214.4,205,31,65.032,138,-23.0,214.4,213.4,206.4,8.0,7.0,-0.9930
HO2409-P-2450                 ,227.6,237,227.6,4,9.292,211,0.0,237,238.4,231.2,5.8,7.2,-0.9950
HO2409-P-2475                 ,,,,0,0,108,0.0,258.4,263.2,256.2,2.2,7.0,-0.9960
HO2409-P-2500                 ,274.6,285.6,274.6,17,47.652,411,-2.0,285.6,288.2,281,4.6,7.2,-0.9970
